,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. FP-RFF|x,Cir. FP-RFF|y,Cir. FP-RFF|y_std,Cir. LP-RFF 8|x,Cir. LP-RFF 8|y,Cir. LP-RFF 8|y_std,Cir. LP-RFF 4|x,Cir. LP-RFF 4|y,Cir. LP-RFF 4|y_std,Cir. LP-RFF 1|x,Cir. LP-RFF 1|y,Cir. LP-RFF 1|y_std
0,1176435.3050141227,0.28712,0.062402745131925084,6486608.855947617,0.47244,0.009643515956330447,6187651.2588473875,0.47387999999999997,0.013030602441944133,1787758.4994257332,0.32738,0.0553478238054578,1797539.2200991616,0.30392,0.04140222940857169,3092073.9741586735,0.35275999999999996,0.01856002155171162
1,653143.706764809,0.20834999999999998,0.020989711765529315,3347886.3627471225,0.4184,0.031350007974480634,3421971.666926093,0.4272500000000001,0.035916138433857284,941208.8454636424,0.24567,0.01059035410172863,947564.0174226417,0.24584,0.01189774768601181,1724515.1953562084,0.29839,0.01197081450862888
2,461064.6823273591,0.16863999999999998,0.003813056516759223,1868559.4152293324,0.32751,0.05056037381190927,1787690.4571283027,0.33472,0.05549918557961006,318593.51995874674,0.19380000000000003,0.003253152317368517,321855.112872018,0.1946,0.00303430387403767,696145.7655992553,0.24399,0.003483303030171229
3,244269.45102684267,0.15228000000000003,0.003162530632262717,945577.2540096242,0.24584999999999999,0.006288720060552876,941238.1170081241,0.24208,0.006104883291267726,103329.95354078464,0.17285999999999999,0.002304647478466098,106577.59408522944,0.17323000000000002,0.002945946367468352,282095.7253512624,0.21395,0.0034004411478512466
4,138711.19579470714,0.14405,0.002625452341978416,323281.16388293536,0.19605999999999998,0.005478813740217872,318614.64045953687,0.19405,0.0031445190411253958,3479.944709781279,0.15894999999999998,0.0012676750372236645,6427.029827970784,0.15927999999999998,0.0016557777628655448,98504.38011316734,0.18698,0.0021616197630480497
5,1063646.6813313211,,,103699.56532238217,0.17267,0.0022725756313047253,103298.47595105962,0.17305999999999996,0.002609865896937999,2056759.532982407,,,2067248.0845699082,,,3727555.1013166336,,
6,679317.1736309764,,,3396.59147434168,0.16009,0.0020370076092150473,3424.972735933328,0.15887,0.0016494241419356106,977422.7126698587,,,982061.5171449968,,,1865114.122192732,,
7,349850.24318203266,,,6709998.712170691,,,8419750.232600888,,,324948.031724319,,,328457.9846557864,,,693723.440452074,,
8,220149.11096555152,,,3737633.6580610247,,,4143476.9966078126,,,104970.24363064696,,,108173.54925885767,,,285601.4130060864,,
9,99998.98160517319,,,1957976.858579923,,,2056778.8988628208,,,3379.1435651438883,,,6335.270245147167,,,39003.93048361927,,
10,1024294.5216447933,,,959744.1777568539,,,977489.0108225906,,,1918952.9364892996,,,1930362.4778226293,,,3176186.188195905,,
11,670442.4142565954,,,319071.2329545834,,,324899.30584378017,,,956740.320000062,,,963255.0703232985,,,1777451.6566768803,,
12,397699.0296953792,,,103243.9757238522,,,104950.11172496207,,,325881.6844049608,,,328977.22823121643,,,691056.2541830243,,
13,339270.2046481185,,,3291.6057093621343,,,3361.126620197728,,,103388.4116936302,,,106792.53001540231,,,282465.88128497585,,
14,120099.44528531143,,,7416575.6878654575,,,6563809.15378286,,,3305.6799462869035,,,6372.725500515755,,,38624.88755660962,,
15,1011087.0138739822,,,3507816.0037833913,,,3478053.623916205,,,1786324.12492252,,,1796192.2165452163,,,3023323.140670245,,
16,858090.3061962432,,,1851877.6481957373,,,1918831.7527603668,,,920994.7273676218,,,925573.683350438,,,1720728.2617382526,,
17,462587.2810317751,,,938296.8100591587,,,956733.0029757472,,,315888.9672544724,,,319691.86649821885,,,675320.1813893436,,
18,330917.7294613957,,,326506.50219696044,,,325853.68875691015,,,103487.76524438793,,,106583.3042182131,,,283689.58462680114,,
19,89719.03477910967,,,102484.81340028821,,,103327.99808566987,,,3491.5923001533474,,,6423.122382356901,,,39840.05884598081,,
20,1062814.646637713,,,3287.780839305839,,,3290.209636874509,,,1796139.9029982863,,,1804706.478491836,,,3022788.3595485394,,
21,808081.2608313584,,,6418727.617065858,,,7302301.585458299,,,929252.4738258128,,,933503.4144625957,,,1674074.1697541054,,
22,410587.360734674,,,3501531.093698733,,,3427138.4874061956,,,322649.9217086413,,,325204.8472828469,,,687169.6229109322,,
23,276768.3098840408,,,1966692.5860546806,,,1786296.5881386416,,,104831.87880814973,,,107951.97630153157,,,284324.41768333525,,
24,157311.01594516626,,,942005.2477403434,,,920899.4872738818,,,3426.018163575927,,,6392.440387028954,,,97747.5966189038,,
25,,,,323318.99171843554,,,315851.8880989904,,,,,,,,,,,
26,,,,103651.47778607706,,,103516.0463130718,,,,,,,,,,,
27,,,,3445.3465358348944,,,3499.909921278499,,,,,,,,,,,
28,,,,6920641.880216931,,,5044294.701170782,,,,,,,,,,,
29,,,,3749585.4222073457,,,3084111.5191297177,,,,,,,,,,,
30,,,,2035403.745548408,,,1796126.3280425451,,,,,,,,,,,
31,,,,960183.4935621964,,,929263.7484554928,,,,,,,,,,,
32,,,,325140.8452711923,,,322579.582992245,,,,,,,,,,,
33,,,,104085.76257228188,,,104870.22257521104,,,,,,,,,,,
34,,,,3351.9662436788985,,,3386.038108758245,,,,,,,,,,,
