,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,LP-RFF 8|x,LP-RFF 8|y,LP-RFF 8|y_std,Ens. LP-Nystrom 8|x,Ens. LP-Nystrom 8|y,Ens. LP-Nystrom 8|y_std,Ens. LP-Nystrom 16|x,Ens. LP-Nystrom 16|y,Ens. LP-Nystrom 16|y_std,Ens. FP-Nystrom|x,Ens. FP-Nystrom|y,Ens. FP-Nystrom|y_std
0,64800000.0,40396214.0168061,1944695.4608327318,2064000.0,49436589.2622706,4864902.324580103,12300000.0,54994773.84043942,1552247.073185014,14800000.0,41317688.509278536,1344973.0733446062,19800000.0,41307508.899744764,1340807.9334846379
1,229600000.0,36367982.578071795,1464024.8629478903,4128000.0,41797602.47531958,2365646.5498475414,34600000.0,52403091.99595736,577241.0900621345,39600000.0,37586800.30299151,1254849.4420560882,49600000.0,37580849.836414635,1262598.6536280382
2,859200000.0,31808303.197819013,1466535.5043729472,10320000.0,34972103.60827081,1558555.2877804074,109200000.0,56250642.842107676,1264463.5322255532,119200000.0,35816495.17312281,529652.1301838815,139200000.0,35807321.11923899,529312.8185973328
3,3318400000.0,28993667.904094897,845195.7720036065,20640000.0,32650878.642871417,1716490.0215203501,378400000.0,69946429.97416806,2617853.851646767,398400000.0,34562964.98174927,665240.220375163,438400000.0,34566469.02010165,660088.5014227113
4,13036800000.0,28214814.522822656,0.2563816693077791,41280000.0,30523000.27990826,806857.87755159,1396800000.0,99365500.05298059,8996102.641823584,1436800000.0,33680418.92855989,307679.6564460549,1516800000.0,33690940.68914312,306771.0305913486
5,,,,103200000.0,29335165.086197417,731233.8667200853,,,,,,,,,
