,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. FP-RFF|x,Cir. FP-RFF|y,Cir. FP-RFF|y_std,Cir. LP-RFF 8|x,Cir. LP-RFF 8|y,Cir. LP-RFF 8|y_std,Cir. LP-RFF 4|x,Cir. LP-RFF 4|y,Cir. LP-RFF 4|y_std,Cir. LP-RFF 1|x,Cir. LP-RFF 1|y,Cir. LP-RFF 1|y_std
0,47018.19194340146,0.28712,0.062402745131925084,1998505.412697781,0.47244,0.009643515956330447,1998515.5916700761,0.47387999999999997,0.013030602441944133,402035.0669104851,0.32738,0.0553478238054578,406419.4106121352,0.30392,0.04140222940857169,1621829.9489517591,0.35275999999999996,0.01856002155171162
1,25268.367462755814,0.20834999999999998,0.020989711765529315,795889.691858834,0.4184,0.031350007974480634,802973.9546614317,0.4272500000000001,0.035916138433857284,199118.31572660786,0.24567,0.01059035410172863,201350.95641158425,0.24584,0.01189774768601181,818994.5345955268,0.29839,0.01197081450862888
2,12622.605185528886,0.16863999999999998,0.003813056516759223,399799.8941874575,0.32751,0.05056037381190927,402020.28610692767,0.33472,0.05549918557961006,79998.69914089402,0.19380000000000003,0.003253152317368517,80879.11059504148,0.1946,0.00303430387403767,340049.71358070447,0.24399,0.003483303030171229
3,5684.3811802075315,0.15228000000000003,0.003162530632262717,199945.1350128465,0.24584999999999999,0.006288720060552876,199108.8682807517,0.24208,0.006104883291267726,39986.11430920214,0.17285999999999999,0.002304647478466098,40432.14240651976,0.17323000000000002,0.002945946367468352,179977.97155328066,0.21395,0.0034004411478512466
4,2307.249991051961,0.14405,0.002625452341978416,80116.16313547251,0.19605999999999998,0.005478813740217872,79995.10331136262,0.19405,0.0031445190411253958,20034.105029507915,0.15894999999999998,0.0012676750372236645,20254.57703389265,0.15927999999999998,0.0016557777628655448,100026.34359498399,0.18698,0.0021616197630480497
5,46536.76809343593,,,39974.311969989125,0.17267,0.0022725756313047253,39984.49457741813,0.17305999999999996,0.002609865896937999,401885.6394552389,,,406294.1382740674,,,1621997.9349457596,,
6,24692.006552396953,,,20029.005906187365,0.16009,0.0020370076092150473,20033.245761579146,0.15887,0.0016494241419356106,199476.0850462846,,,201697.44445329177,,,819678.4422690107,,
7,12091.476207730577,,,1994523.8801988168,,,1998854.7574865303,,,80195.64284868925,,,81087.27412893673,,,340247.4376852591,,
8,5464.276170886955,,,798554.3082167722,,,803733.0858492425,,,40125.35025443709,,,40566.121949217646,,,180097.8765231487,,
9,2223.0697731691507,,,400612.88105063303,,,401868.63461661193,,,20228.25238805842,,,20450.482569375203,,,100236.97767595186,,
10,47838.8356044969,,,200650.27826436894,,,199467.25047043822,,,398974.2921117715,,,403394.7231941046,,,1617780.6597878607,,
11,25608.00335706467,,,79976.92809115071,,,80191.70721367921,,,199727.04117195163,,,201968.2026046425,,,819645.7871395717,,
12,12378.21192774548,,,39913.73423000937,,,40123.88735318466,,,79566.41396933675,,,80455.08478018953,,,339544.8035008812,,
13,5518.527079620547,,,20001.228082046895,,,20227.366703422853,,,39892.48437853711,,,40331.89060040257,,,179847.4819519853,,
14,2290.487113640788,,,2001369.171786677,,,2004054.6083011583,,,20021.275466491035,,,20244.15302552248,,,100023.92328851484,,
15,46784.718589148,,,798255.3555086505,,,798491.4572072461,,,402216.01557887637,,,406618.5475896994,,,1622105.7367774495,,
16,25397.70315390448,,,398037.95492602314,,,398959.4125675022,,,202066.34316327126,,,204293.65096245531,,,822002.5757086307,,
17,12882.03175391996,,,199995.15356037178,,,199717.6400459146,,,80696.3149779584,,,81581.83658307402,,,340685.7185558309,,
18,5602.1818837414185,,,79651.39118048458,,,79563.63004760018,,,39999.95099446539,,,40440.080118337886,,,179942.40276068493,,
19,2314.4295713594415,,,40087.27172028202,,,39890.78549802683,,,20247.34916870013,,,20470.188095762987,,,100273.74843165868,,
20,45830.23549135119,,,20008.64680455862,,,20020.35935279744,,,402006.62748194207,,,406381.71944755386,,,1622200.072997192,,
21,25293.928785211,,,1995453.1913962606,,,2000624.3709019274,,,199313.04631291138,,,201512.848034114,,,819396.8756709459,,
22,12539.77473087646,,,798396.1392194493,,,799423.0286109206,,,79837.72944704875,,,80727.05598906822,,,339845.8587510951,,
23,5475.313805785964,,,402637.6562276192,,,402201.16520210844,,,40072.58761275983,,,40511.75669927142,,,180055.350153994,,
24,2266.1022071478706,,,200390.898549904,,,202057.62760910392,,,19939.750745521207,,,20160.21865247838,,,99931.82704653824,,
25,,,,79891.91282463759,,,80693.3229666351,,,,,,,,,,,
26,,,,39911.03617225931,,,39998.34452519551,,,,,,,,,,,
27,,,,19947.00841972963,,,20246.470895278966,,,,,,,,,,,
28,,,,2007568.2773069134,,,2042030.9323216896,,,,,,,,,,,
29,,,,800660.9360634261,,,809176.1060201412,,,,,,,,,,,
30,,,,401234.8206550897,,,401990.7770628231,,,,,,,,,,,
31,,,,200276.72364321596,,,199304.24314231862,,,,,,,,,,,
32,,,,79863.55469107798,,,79834.17776017454,,,,,,,,,,,
33,,,,39836.082768758926,,,40071.04077007836,,,,,,,,,,,
34,,,,19928.33075755542,,,19938.96824146566,,,,,,,,,,,
