,0.001|x,0.001|y,0.001|y_std,1.0|x,1.0|y,1.0|y_std,1000.0|x,1000.0|y,1000.0|y_std
0,1,9965.927450880135,60.59894826548732,1,11.950705723255087,0.041123208939808455,1,0.0584714316779383,0.004440802879601989
1,2,1052.7074982895058,7.487610278429485,2,1.4971085968584448,0.01465577414520313,2,0.0336966481104304,0.00533167454462436
2,4,52.60606663807802,0.9293514385701266,4,0.5781845525006805,0.022798638898598424,4,0.025876287185214685,0.005169900597866944
3,8,11.70484095589084,0.13993297902482726,8,0.515522615081608,0.01970645028665634,8,0.025418071188668262,0.0050736938882324405
4,16,11.409960467510452,0.1538375424573771,16,0.5151952210977292,0.019659943632822113,16,0.025416682008623504,0.005071227617698611
5,32,11.410066697343435,0.15390677517011198,32,0.5151948407878854,0.01965971712745033,32,0.02541668612519694,0.005071224465755971
