,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. FP-RFF|x,Cir. FP-RFF|y,Cir. FP-RFF|y_std,LP-RFF 16|x,LP-RFF 16|y,LP-RFF 16|y_std,LP-RFF 8|x,LP-RFF 8|y,LP-RFF 8|y_std,LP-RFF 4|x,LP-RFF 4|y,LP-RFF 4|y_std,LP-RFF 2|x,LP-RFF 2|y,LP-RFF 2|y_std,LP-RFF 1|x,LP-RFF 1|y,LP-RFF 1|y_std
0,1250.0,89097420.13659446,428641.399531195,1250,98988979.63964503,4048382.148647149,1250,93722617.42904167,4052535.9093203056,1250,93722572.04796863,4052387.2082589758,1250,97105184.59764855,5656191.36568902,1250,145587323.50020757,6205039.409108905,1250,325093447.2881289,14995511.454697829,1250,622412042.0545367,15730902.13214837
1,2500.0,87080557.43432839,615548.6176217707,2500,93235390.00230932,1036504.6513941449,2500,90584205.57624702,1240635.6082409027,2500,90584239.35292561,1240647.1514732158,2500,93633122.11209364,2864796.3070581243,2500,136376219.3039045,12369503.108151643,2500,214333819.52162942,13521195.822309801,2500,465633382.2963388,5008497.0443571955
2,5000.0,85801194.70463473,17257.420318727043,5000,88857922.34958045,1545007.1650279926,5000,89150381.50256002,1281425.7159276342,5000,89150430.24566023,1281513.7780683555,5000,90283871.9859881,1379747.2782419794,5000,119355396.95097719,11125048.864374742,5000,209020521.87150574,1798396.3195555087,5000,371692032.71777505,29914413.21869685
3,10000.0,85496761.98864914,20217.546109431696,10000,86247377.72925834,1529148.5208955957,10000,88996085.65839489,1094485.5488855748,10000,88996081.20084544,1094495.1472727044,10000,89571342.2902221,1455247.4520003658,10000,113601797.13600528,569145.9610256724,10000,184611187.96238473,10945913.953708759,10000,288301138.1656736,27661328.42383636
4,20000.0,85428864.49040301,0.4642658886608593,20000,85274390.54313071,1467061.1518257512,20000,86850719.50220478,923273.4901476782,20000,86850717.83825426,923358.7459793423,20000,86591613.48629496,1683337.484624772,20000,101739491.91457258,3137465.5181463263,20000,146189696.37247708,11822448.714841193,20000,262005118.29768494,14612361.003817566
5,,,,50000,85643422.34786266,773009.5822389146,50000,86500612.46183804,424266.6654593895,50000,86500634.50917582,424268.2744296011,50000,86502654.48850243,281909.89835887303,50000,100310228.99984084,3437071.7737340485,50000,125786039.5708472,15684242.139291732,50000,200742837.03447247,14990481.818076365
6,,,,100000,85462617.00991666,609280.3950073884,100000,85896291.7237175,495241.5074026986,100000,85896293.09858595,495260.5973362508,100000,85356747.83248304,317815.0619049574,100000,93502232.57237512,3028970.2516882718,100000,118880418.09575583,2786311.5949207507,100000,151586608.24685565,14193599.448039144
7,,,,200000,85182899.69015567,431792.1505987855,200000,85919364.76154564,537340.9594914699,200000,85919375.93229324,537343.3975702286,200000,85930476.43584253,1175199.3764569198,200000,89764312.14881884,1644396.3260367431,200000,122098219.03579836,13182509.776521536,200000,156766422.3764849,6851897.517314887
8,,,,400000,85208492.14451687,221900.7656234737,400000,85715135.05192329,225508.57647642115,400000,85715133.32484971,225499.8730279287,400000,85177635.75982417,574033.0096247202,400000,89895531.82665294,2172893.9336953037,400000,109513605.9481777,3228439.3666714164,400000,134488043.94396535,10484129.445554644
