,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,Cir. FP-RFF|x,Cir. FP-RFF|y,Cir. FP-RFF|y_std,LP-RFF 8|x,LP-RFF 8|y,LP-RFF 8|y_std,LP-RFF 4|x,LP-RFF 4|y,LP-RFF 4|y_std,LP-RFF 1|x,LP-RFF 1|y,LP-RFF 1|y_std
0,64800000.0,40396214.0168061,1944695.4608327318,2368000.0,99411078.37600884,16313500.352939932,1612800.0,92805938.80165026,10791874.876629302,2064000.0,49436589.2622706,4864902.324580103,1064000.0,62689327.23608502,2846255.5668296264,314000.0,678480877.3996437,29009503.424099863
1,229600000.0,36367982.578071795,1464024.8629478903,5920000.0,55643175.49082961,6162807.312291399,4032000.0,54435615.26144785,7578913.6302779745,4128000.0,41797602.47531958,2365646.5498475414,2128000.0,53593712.43917343,2733673.9393912144,628000.0,461208357.06540406,12704214.175055074
2,859200000.0,31808303.197819013,1466535.5043729472,11840000.0,49055245.539931394,1834351.4795583664,8064000.0,49254275.49790723,4734073.307607702,10320000.0,34972103.60827081,1558555.2877804074,5320000.0,49446134.18545052,693451.129349509,1570000.0,327363642.3938714,12441638.939664828
3,3318400000.0,28993667.904094897,845195.7720036065,23680000.0,43936523.26036584,3636701.0894611846,16128000.0,42137231.21653556,2329921.7441336913,20640000.0,32650878.642871417,1716490.0215203501,10640000.0,56711388.81952377,2186888.8492924958,3140000.0,353751292.9172251,4902619.29277441
4,13036800000.0,28214814.522822656,0.2563816693077791,59200000.0,35849948.64879193,1960271.157081992,40320000.0,34585462.04011116,1733330.933871777,41280000.0,30523000.27990826,806857.87755159,21280000.0,51534525.758326426,1979130.3364756284,6280000.0,518699111.3451015,16565449.649063395
5,,,,118400000.0,34116316.09199348,666600.7021452034,80640000.0,32223499.207586437,2065392.6787978346,103200000.0,29335165.086197417,731233.8667200853,53200000.0,37676864.82804272,984978.2071290322,15700000.0,119415137.6082445,1929438.337135053
6,,,,236800000.0,31478508.62857033,144821.9950593732,161280000.0,30329382.9068154,698828.7682956066,,,,,,,,,
7,,,,592000000.0,29603166.79495241,755009.3444880197,403200000.0,29287235.18142282,876517.6144258028,,,,,,,,,
