,0.001|x,0.001|y,0.001|y_std,1.0|x,1.0|y,1.0|y_std,1000.0|x,1000.0|y,1000.0|y_std
0,1,2936.239754304245,12.181386972490474,1,3.34976553348947,0.015421109890907472,1,0.01914672428117152,0.0006572777436871243
1,2,459.256358375999,0.937956696117667,2,0.6569159310566309,0.008931479918628053,2,0.015963852320513106,0.002854412594340576
2,4,27.59886252273443,0.08608701520441489,4,0.35548354854200265,0.015512900738182728,4,0.016740441988625492,0.0026191106787736237
3,8,11.279659796529524,0.11614061706003957,8,0.5072478182944364,0.012557625623147013,8,0.024691024635744168,0.004219507149164939
4,16,35.785331016482544,0.5961171574843686,16,0.7819693981707806,0.04326248756626555,16,0.0327663398733176,0.006980868556561349
5,32,129.98688391973707,2.5025343260780293,32,1.2834508883510378,0.088672808834414,32,0.044633480464456275,0.005648458882871869
