,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,LP-RFF 8|x,LP-RFF 8|y,LP-RFF 8|y_std,LP-RFF 4|x,LP-RFF 4|y,LP-RFF 4|y_std
0,1250.0,89097420.13659446,428641.399531195,1250,98988979.63964503,4048382.148647149,1250,97105184.59764855,5656191.36568902,1250,145587323.50020757,6205039.409108905
1,2500.0,87080557.43432839,615548.6176217707,2500,93235390.00230932,1036504.6513941449,2500,93633122.11209364,2864796.3070581243,2500,136376219.3039045,12369503.108151643
2,5000.0,85801194.70463473,17257.420318727043,5000,88857922.34958045,1545007.1650279926,5000,90283871.9859881,1379747.2782419794,5000,119355396.95097719,11125048.864374742
3,10000.0,85496761.98864914,20217.546109431696,10000,86247377.72925834,1529148.5208955957,10000,89571342.2902221,1455247.4520003658,10000,113601797.13600528,569145.9610256724
4,20000.0,85428864.49040301,0.4642658886608593,20000,85274390.54313071,1467061.1518257512,20000,86591613.48629496,1683337.484624772,20000,101739491.91457258,3137465.5181463263
5,,,,50000,85643422.34786266,773009.5822389146,50000,86502654.48850243,281909.89835887303,50000,100310228.99984084,3437071.7737340485
6,,,,100000,85462617.00991666,609280.3950073884,100000,85356747.83248304,317815.0619049574,100000,93502232.57237512,3028970.2516882718
7,,,,200000,85182899.69015567,431792.1505987855,200000,85930476.43584253,1175199.3764569198,200000,89764312.14881884,1644396.3260367431
8,,,,400000,85208492.14451687,221900.7656234737,400000,85177635.75982417,574033.0096247202,400000,89895531.82665294,2172893.9336953037
