,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,Cir. LP-RFF 8|x,Cir. LP-RFF 8|y,Cir. LP-RFF 8|y_std,LP-Nystrom 8|x,LP-Nystrom 8|y,LP-Nystrom 8|y_std,LP-Nystrom 16|x,LP-Nystrom 16|y,LP-Nystrom 16|y_std
0,64800000.0,40396214.0168061,1944695.4608327318,2064000.0,49436589.2622706,4864902.324580103,57300000.0,58410730.86777067,2204728.1676153615,59800000.0,40380902.45953157,1938291.0441150905
1,229600000.0,36367982.578071795,1464024.8629478903,4128000.0,41797602.47531958,2365646.5498475414,214600000.0,64626227.31476078,2941943.3496778314,219600000.0,36358628.847337484,1460662.063898394
2,859200000.0,31808303.197819013,1466535.5043729472,10320000.0,34972103.60827081,1558555.2877804074,829200000.0,73711549.21507108,3275403.232997637,839200000.0,31818033.381927203,1439002.3986012044
3,3318400000.0,28993667.904094897,845195.7720036065,20640000.0,32650878.642871417,1716490.0215203501,3258400000.0,114291186.69100499,8953594.394098775,3278400000.0,29105509.44265143,866419.875737757
4,13036800000.0,28214814.522822656,0.2563816693077791,41280000.0,30523000.27990826,806857.87755159,12916800000.0,409887688.4141183,51176435.563161105,12956800000.0,28279697.943981938,59515.64956595333
5,,,,103200000.0,29335165.086197417,731233.8667200853,,,,,,
