,FP-Nystrom|x,FP-Nystrom|y,FP-Nystrom|y_std,FP-RFF|x,FP-RFF|y,FP-RFF|y_std,LP-RFF 8|x,LP-RFF 8|y,LP-RFF 8|y_std,LP-RFF 4|x,LP-RFF 4|y,LP-RFF 4|y_std
0,1250.0,0.35308961228421526,0.0010151743861736577,1250,0.38039028541983616,0.001053397714059099,1250,0.3824473530719375,0.0014502631437267996,1250,0.3825357267648566,0.0016413496820297778
1,2500.0,0.3399423259684058,0.00022168491773823674,2500,0.3589943345664863,0.002346421180589815,2500,0.3622233733462223,0.0008467801253940018,2500,0.3597720230641743,0.0012978930362439495
2,5000.0,0.33181330581512497,0.000521585120557186,5000,0.34379949776550517,0.0009481303155246248,5000,0.34579810282075235,0.00032433116091796723,5000,0.3464357530050455,0.0003288590896481729
3,10000.0,0.3263640479502062,0.0005130954777117223,10000,0.33501515268934745,0.002267910065949421,10000,0.3348506416609904,0.0019152996546030316,10000,0.33450530446096804,0.0015301083601150418
4,20000.0,0.32279646994682626,0.00030233192696309046,20000,0.32541912923360977,0.001808702253638846,20000,0.3256013150005506,0.0006489329877877416,20000,0.32555916754700465,0.0010134576762924462
5,,,,50000,0.31963677052614975,0.0006676125055059442,50000,0.3197686512678906,0.000161648960088583,50000,0.31966940081276607,0.0003401706292940474
6,,,,100000,0.31720853336378824,0.0008169889351552644,100000,0.31695836783306347,0.000695653234962723,100000,0.31682648709132266,0.0004626660972223423
7,,,,200000,0.31595498651961285,0.0005790247961127186,200000,0.31592915420937495,0.00046634316147076555,200000,0.3158761299936235,0.0003213768047801855
8,,,,400000,0.31548320695895243,0.0008392481102019161,400000,0.315273829286498,0.00018871456694360291,400000,0.31477621741559975,0.00031437535575083096
